response_id,recorded_date,user_language,participation_date,researcher,baby_id,study_id,study_name,date_of_birth,child_gender,child_langs,wake_time,sleep_time,hours_nap,hrs_awake,num_sits,researcher_notes,mono_exception,baby_age,baby_fullage,num_langs,situation,start,end,length,language,lang_name,glob_est,age_acquired,total_hrs,cumu_exp,curr_exp,overall_exp,hrsperweek,cumu_hrs,multilingual,large_change
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,1,0,8,8,l1,English,0.6,0,832,0.5,0.5,0.52,31.5,31.5,0,0
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,1,0,8,8,l2,French,0.4,0,1058,0.5,0.5,0.48,31.5,31.5,0,0
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,1,0,8,8,l3,Mandarin,0,0,0,0,0,0,0,0,0,0
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,1,0,8,8,l4,Spanish,0,0,0,0,0,0,0,0,0,0
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,2,8,12,4,l1,English,0.6,0,832,0.405,0.31,0.52,19.5,51,0,0
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,2,8,12,4,l2,French,0.4,0,1058,0.595,0.69,0.48,43.5,75,0,0
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,2,8,12,4,l3,Mandarin,0,0,0,0,0,0,0,0,0,0
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,2,8,12,4,l4,Spanish,0,0,0,0,0,0,0,0,0,0
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,3,12,16,4,l1,English,0.6,0,832,0.389,0.357,0.52,22.5,73.5,0,0
R_Q06p5hWOj4o1u5r,2023-03-30 12:13:28,EN,2021-10-15,MB,56352,S012,BNW,2019-04-24,Female,"English, French, Mandarin, & Spanish",08:00:00,19:30:00,2.5,9,10,"Second level Spanish: mom wrote ""L2 Spanish"" for the variety of Spanish spoken. 
Situation mentioning ""care provider at home"" was used when the nanny was at home.
Situation mentioning ""at home with grandparents"" was used when both primary caregivers and the grandmother were at home.",0,30,2y 5m 21d,4,3,12,16,4,l2,French,0.4,0,1058,0.611,0.643,0.48,40.5,115.5,0,0
