study_id,phase,end_age,cumulative_exp_Eng,cumulative_exp_Fre,cumulative_exp_L3,cumulative_exp_L4,lang_status,dominant_lang
S001,5,30,0.47619047619047616,0.5238095238095238,NA,NA,bilingual,fr_dom
S002,8,30,0.5639751552795031,0.4360248447204969,NA,NA,bilingual,eng_dom
S003,5,30,0.5850340136054422,0.41496598639455784,NA,NA,bilingual,eng_dom
S008,5,30,0.32727272727272727,0.6727272727272727,NA,NA,bilingual,fr_dom
S021,5,30,0.5247619047619048,0.4752380952380952,NA,NA,bilingual,eng_dom
S023,5,30,0.7656746031746032,0.23432539682539685,NA,NA,bilingual,eng_dom
S024,4,30,0.21904761904761905,0.8685714285714285,NA,NA,bilingual,fr_dom
S031,7,30,0.7099378881987578,0.29006211180124225,NA,NA,bilingual,eng_dom
S038,3,30,0.5152380952380953,0.4664285714285714,0.05,NA,bilingual,eng_dom
S041,9,30,0.5576719576719577,0.4423280423280423,NA,NA,bilingual,eng_dom
S045,4,30,0.5529608006672226,0.4470391993327773,NA,NA,bilingual,eng_dom
S046,2,30,0.5535714285714286,0.44642857142857145,NA,NA,bilingual,eng_dom
S065,4,30,0.4745341614906832,0.46107660455486543,0.03892339544513457,0.02546583850931677,bilingual,eng_dom
S066,8,30,0.5157142857142857,0.48428571428571426,NA,NA,bilingual,eng_dom
S076,5,30,0.12552380952380954,0.8744761904761905,NA,NA,bilingual,fr_dom
S086,7,30,0.39802371541501974,0.5938735177865613,0.00810276679841897,NA,bilingual,fr_dom
S094,2,30,0.45555555555555555,0.5444444444444444,NA,NA,bilingual,fr_dom
S004,6,31,0.5207373271889401,0.4792626728110599,NA,NA,bilingual,eng_dom
S005,7,31,0.43208251042352425,0.5679174895764757,NA,NA,bilingual,fr_dom
S006,4,31,0.9368863955119214,0.06311360448807854,NA,NA,eng_mono,eng_dom
S007,6,31,0.45241434582248047,0.5475856541775196,NA,NA,bilingual,fr_dom
S009,7,31,0.510102800425381,0.46827366182204894,0.02162353775257001,NA,bilingual,eng_dom
S010,9,31,0.4377880184331797,0.5583717357910907,0.00384024577572964,NA,bilingual,fr_dom
S102,5,31,0.4140552995391706,0.5638248847926267,0.02211981566820276,NA,bilingual,fr_dom
S108,7,31,0.5961738407153254,0.4038261592846746,NA,NA,bilingual,eng_dom
S111,3,31,0.7431922915793884,0.2568077084206116,NA,NA,bilingual,eng_dom
S118,4,31,0.43215130023640663,0.5494089834515367,0.01843971631205673,NA,bilingual,fr_dom
S121,4,31,0.4527736131934033,0.5369190404797601,0.01030734632683658,NA,bilingual,fr_dom
S015,7,31,0.7248847926267281,0.2467741935483871,0.02834101382488479,NA,bilingual,eng_dom
S016,5,31,0.6006144393241167,0.39938556067588327,NA,NA,bilingual,eng_dom
S018,6,31,0.6383490282508515,0.31757162893207774,0.05255613951266125,NA,bilingual,eng_dom
S019,7,31,0.39499670836076367,0.6050032916392364,NA,NA,bilingual,fr_dom
S020,5,31,0.1399769585253456,0.8600230414746544,NA,NA,bilingual,fr_dom
S026,8,31,0.5365658184732518,0.46343418152674815,NA,NA,bilingual,eng_dom
S028,8,31,0.5235959854793936,0.4764040145206064,NA,NA,bilingual,eng_dom
S029,7,31,0.7403403048564339,0.2596596951435661,NA,NA,bilingual,eng_dom
S032,6,31,0.44815668202764974,0.506221198156682,0.0456221198156682,NA,bilingual,fr_dom
S033,5,31,0.30728948470883954,0.6927105152911605,NA,NA,bilingual,fr_dom
S040,6,31,0.37004608294930874,0.6299539170506913,NA,NA,bilingual,fr_dom
S043,2,31,0.46101382488479264,0.5389861751152074,NA,NA,bilingual,fr_dom
S047,6,31,0.1753155680224404,0.8246844319775596,NA,NA,bilingual,fr_dom
S057,6,31,0.5049374588545096,0.4950625411454905,NA,NA,bilingual,eng_dom
S063,2,31,0.4071328391103987,0.5173311961530755,0.07553596473652574,NA,bilingual,fr_dom
S064,8,31,0.6702764976958525,0.315668202764977,0.0140552995391705,NA,bilingual,eng_dom
S067,7,31,0.5343618513323983,0.46563814866760167,NA,NA,bilingual,eng_dom
S069,4,31,0.590373783922171,0.3763440860215054,0.04689754689754689,NA,bilingual,eng_dom
S072,5,31,0.0748847926267281,0.9032258064516128,0.02423469387755102,NA,fr_mono,fr_dom
S075,7,31,0.5694249649368864,0.4305750350631136,NA,NA,bilingual,eng_dom
