study_id,n_months,age,starting_age,eng_completed,fr_completed,num_datapts,vocabulary_type_step1,vocabulary_score,num_missing_datapts,total
S001,1,17.129032258064516,17.129032258064516,TRUE,TRUE,13,English,8,0,680
S001,1,17.129032258064516,17.129032258064516,TRUE,TRUE,13,French,0,0,664
S001,1,17.129032258064516,17.129032258064516,TRUE,TRUE,13,word,8,0,1344
S001,1,17.129032258064516,17.129032258064516,TRUE,TRUE,13,concept,8,0,733
S001,2,18.166666666666668,17.129032258064516,TRUE,TRUE,13,English,9,0,680
S001,2,18.166666666666668,17.129032258064516,TRUE,TRUE,13,French,1,0,664
S001,2,18.166666666666668,17.129032258064516,TRUE,TRUE,13,word,10,0,1344
S001,2,18.166666666666668,17.129032258064516,TRUE,TRUE,13,concept,9,0,733
S001,3,19.032258064516128,17.129032258064516,TRUE,TRUE,13,English,13,0,680
S001,3,19.032258064516128,17.129032258064516,TRUE,TRUE,13,French,3,0,664
S001,3,19.032258064516128,17.129032258064516,TRUE,TRUE,13,word,16,0,1344
S001,3,19.032258064516128,17.129032258064516,TRUE,TRUE,13,concept,16,0,733
S001,4,20.066666666666663,17.129032258064516,TRUE,TRUE,13,English,15,0,680
S001,4,20.066666666666663,17.129032258064516,TRUE,TRUE,13,French,8,0,664
S001,4,20.066666666666663,17.129032258064516,TRUE,TRUE,13,word,23,0,1344
S001,4,20.066666666666663,17.129032258064516,TRUE,TRUE,13,concept,23,0,733
S001,5,21.032258064516128,17.129032258064516,TRUE,TRUE,13,English,22,0,680
S001,5,21.032258064516128,17.129032258064516,TRUE,TRUE,13,French,14,0,664
S001,5,21.032258064516128,17.129032258064516,TRUE,TRUE,13,word,36,0,1344
S001,5,21.032258064516128,17.129032258064516,TRUE,TRUE,13,concept,35,0,733
S001,6,22.096774193548388,17.129032258064516,TRUE,TRUE,13,English,31,0,680
S001,6,22.096774193548388,17.129032258064516,TRUE,TRUE,13,French,17,0,664
S001,6,22.096774193548388,17.129032258064516,TRUE,TRUE,13,word,48,0,1344
