study_id,cumulative_exp_Eng,cumulative_exp_Fre,end_age,lang_status,dominant_lang,exposure_balance
S001,47.61904761904761,52.38095238095239,30,bilingual,fr_dom,47.61904761904761
S023,76.56746031746032,23.432539682539684,30,bilingual,eng_dom,23.432539682539684
S046,55.35714285714286,44.642857142857146,30,bilingual,eng_dom,44.642857142857146
S086,39.80237154150198,59.387351778656125,30,bilingual,fr_dom,39.80237154150198
S006,93.68863955119214,6.311360448807854,31,eng_mono,eng_dom,6.311360448807854
S009,51.010280042538106,46.82736618220489,31,bilingual,eng_dom,46.82736618220489
S010,43.77880184331797,55.83717357910907,31,bilingual,fr_dom,43.77880184331797
S108,59.61738407153254,40.38261592846746,31,bilingual,eng_dom,40.38261592846746
S118,43.21513002364066,54.94089834515366,31,bilingual,fr_dom,43.21513002364066
S015,72.48847926267281,24.677419354838708,31,bilingual,eng_dom,24.677419354838708
S019,39.49967083607637,60.50032916392364,31,bilingual,fr_dom,39.49967083607637
S032,44.815668202764975,50.6221198156682,31,bilingual,fr_dom,44.815668202764975
S033,30.728948470883953,69.27105152911605,31,bilingual,fr_dom,30.728948470883953
S047,17.53155680224404,82.46844319775596,31,bilingual,fr_dom,17.53155680224404
S057,50.493745885450956,49.506254114549044,31,bilingual,eng_dom,49.506254114549044
S063,40.71328391103987,51.73311961530756,31,bilingual,fr_dom,40.71328391103987
S064,67.02764976958525,31.566820276497698,31,bilingual,eng_dom,31.566820276497698
S069,59.0373783922171,37.634408602150536,31,bilingual,eng_dom,37.634408602150536
S072,7.4884792626728105,90.32258064516128,31,fr_mono,fr_dom,7.4884792626728105
S088,63.154587348135735,36.845412651864265,31,bilingual,eng_dom,36.845412651864265
S097,34.801843317972356,61.51152073732719,31,bilingual,fr_dom,34.801843317972356
S098,34.801843317972356,61.51152073732719,31,bilingual,fr_dom,34.801843317972356
S096,15.5,84.5,22,bilingual,fr_dom,15.5
S039,42.8,56.699999999999996,23,bilingual,fr_dom,42.8
S133,48.9,51.1,23,bilingual,fr_dom,48.9
S050,30.9,69.1,24,bilingual,fr_dom,30.9
S036,46.400000000000006,53.6,25,bilingual,fr_dom,46.400000000000006
S058,64.9,29.5,27,bilingual,eng_dom,29.5
S103,47.8,52.2,27,bilingual,fr_dom,47.8
S120,49.9,50.1,27,bilingual,fr_dom,49.9
S115,0.6,99.4,28,fr_mono,fr_dom,0.6
S131,100,0,29,eng_mono,eng_dom,0
S079,94,6,30,eng_mono,eng_dom,6
S081,96.89999999999999,3.1,30,eng_mono,eng_dom,3.1
S087,0.7000000000000001,99.3,30,fr_mono,fr_dom,0.7000000000000001
S116,91.9,8.1,30,eng_mono,eng_dom,8.1
S122,98.1,1.9,30,eng_mono,eng_dom,1.9
S126,33.6,66.4,30,bilingual,fr_dom,33.6
S073,94.6,5.4,31,eng_mono,eng_dom,5.4
S100,93,5.5,31,eng_mono,eng_dom,5.5
S101,90.9,9.1,31,eng_mono,eng_dom,9.1
S104,11,89,31,bilingual,fr_dom,11
S106,0,100,31,fr_mono,fr_dom,0
S107,1.5,98.5,31,fr_mono,fr_dom,1.5
S113,0,100,31,fr_mono,fr_dom,0
S125,50.9,49.1,31,bilingual,eng_dom,49.1
S130,4.3,95.7,31,fr_mono,fr_dom,4.3
S132,37,63,31,bilingual,fr_dom,37
