study_id,vocabulary_type_step1,words_learned
S131,English,76.36940392128732
S131,word,76.36940392128732
S131,concept,76.36940392128732
S087,French,95.97523219814232
S087,word,95.97523219814232
S087,concept,95.97523219814232
S047,French,73.77870563674314
S047,concept,71.83716075156569
S122,English,71.97836083310814
S122,word,71.97836083310814
S122,concept,71.97836083310814
S118,English,86.3913406960887
S118,concept,84.17617811413771
S047,word,86.63498098859304
S126,English,8.421052631578954
S023,English,33.60351562499988
S023,concept,37.236328124999865
S088,concept,87.29885057471262
S033,French,76.81172291296625
S033,concept,74.33392539964476
S118,French,33.82822814893047
S118,word,86.35100343279619
S046,French,51.220302375809915
S046,concept,52.22462203023756
S088,English,73.69811320754712
S023,word,88.99521531100518
S006,English,71.71810449574743
S006,word,71.71810449574743
S006,concept,71.71810449574743
S107,French,62.97602093837816
S107,word,62.97602093837816
S107,concept,62.97602093837816
S046,English,36.06648199445985
S046,word,76.42659279778395
S126,French,27
S126,word,31.333333333333332
S073,English,68.90807799442898
S073,word,68.90807799442898
S073,concept,68.90807799442898
S081,English,119.35000000000005
S081,word,119.35000000000005
S081,concept,119.35000000000005
S088,French,86.25916870415624
S088,word,138.63080684596537
S033,word,91.54553817847292
S132,English,4.864864864864861
S047,English,10.009784735812111
S115,French,36.038751345532795
S115,word,36.038751345532795
S115,concept,36.038751345532795
S009,French,35.537705685097144
S009,concept,29.44552756765192
S069,English,82.43020594965677
S069,concept,87.39588100686501
S133,French,87.63713080168765
S036,French,55.959885386819415
S108,English,28.42794759825329
S108,concept,28.42794759825329
S120,English,30.243902439024456
S120,concept,33.604336043360505
S086,English,54.645232815964384
S086,concept,52.583148558758175
S009,word,101.4545454545456
S130,French,44.999999999999986
S130,word,44.999999999999986
S130,concept,44.999999999999986
S023,French,25.160320641282624
S096,French,57.32075471698109
S100,English,56.11275964391678
S100,word,56.11275964391678
S100,concept,56.11275964391678
S072,French,42.133390557940004
S072,word,42.133390557940004
S072,concept,42.133390557940004
S015,English,60.53254437869837
S001,French,22.545454545454508
S001,word,31.939393939393888
S001,concept,24.424242424242387
S126,concept,42.5
S086,word,66.01252609603357
S108,word,96.89820359281431
S019,French,33.424947145877425
S019,concept,36.374207188160725
S106,French,41.83692596063727
S106,word,41.83692596063727
S106,concept,41.83692596063727
S113,French,54.43902439024375
S113,word,54.43902439024375
S113,concept,54.43902439024375
S015,French,39.751491053677924
S015,word,171.94831013916496
S015,concept,125.7256461232604
S036,concept,70.95367847411445
S063,concept,42.24646185709331
S001,English,10.689655172413813
S120,word,51.566147859922175
S086,French,41.25000000000001
S019,word,47.94844253490875
S064,English,31.764705882352956
S064,concept,34.11764705882354
S069,word,172.2222222222218
S036,word,70.88154269972446
S033,English,52.77427490542229
S132,French,74.04199475065609
S132,word,78.11023622047236
S132,concept,71.60104986876632
S063,French,85.06097560975606
S063,word,129.4817073170731
S104,French,40.81850533807814
S104,word,39
S104,concept,34.5
S103,French,66.89969604863215
S120,French,21.695178849144636
S058,English,17.680608365019044
S058,concept,32.709125475285234
S064,word,68.92699115044243
