Enrolled,Study ID
completed_study,BabysNewWords_S01
completed_study,BabysNewWords_S02
completed_study,BabysNewWords_S03
completed_study,BabysNewWords_S04
completed_study,BabysNewWords_S05
completed_study,BabysNewWords_S06
completed_study,BabysNewWords_S07
completed_study,BabysNewWords_S08
completed_study,BabysNewWords_S09
completed_study,BabysNewWords_S10
inactivity_withdraw,BabysNewWords_S11
completed_study,BabysNewWords_S12
asked_withdraw,BabysNewWords_S13
inactivity_withdraw,BabysNewWords_S14
completed_study,BabysNewWords_S15
completed_study,BabysNewWords_S16
inactivity_withdraw,BabysNewWords_S17
completed_study,BabysNewWords_S18
completed_study,BabysNewWords_S19
completed_study,BabysNewWords_S20
completed_study,BabysNewWords_S21
completed_study,BabysNewWords_S22
completed_study,BabysNewWords_S23
completed_study,BabysNewWords_S24
completed_study,BabysNewWords_S25
completed_study,BabysNewWords_S26
asked_withdraw,BabysNewWords_S27
completed_study,BabysNewWords_S28
completed_study,BabysNewWords_S29
inactivity_withdraw,BabysNewWords_S30
completed_study,BabysNewWords_S31
completed_study,BabysNewWords_S32
completed_study,BabysNewWords_S33
inactivity_withdraw,BabysNewWords_S34
asked_withdraw,BabysNewWords_S35
completed_study,BabysNewWords_S36
completed_study,BabysNewWords_S37
completed_study,BabysNewWords_S38
completed_study,BabysNewWords_S39
inactivity_withdraw,BabysNewWords_S40
completed_study,BabysNewWords_S41
inactivity_withdraw,BabysNewWords_S42
completed_special_case,BabysNewWords_S43
inactivity_withdraw,BabysNewWords_S44
completed_study,BabysNewWords_S45
completed_study,BabysNewWords_S46
completed_study,BabysNewWords_S47
completed_special_case,BabysNewWords_S48
inactivity_withdraw,BabysNewWords_S49
completed_study,BabysNewWords_S50
inactivity_withdraw,BabysNewWords_S51
inactivity_withdraw,BabysNewWords_S52
inactivity_withdraw,BabysNewWords_S53
inactivity_withdraw,BabysNewWords_S54
asked_withdraw,BabysNewWords_S55
inactivity_withdraw,BabysNewWords_S56
completed_study,BabysNewWords_S57
completed_excluded,BabysNewWords_S58
inactivity_withdraw,BabysNewWords_S59
inactivity_withdraw,BabysNewWords_S60
inactivity_withdraw,BabysNewWords_S61
inactivity_withdraw,BabysNewWords_S62
completed_study,BabysNewWords_S63
completed_study,BabysNewWords_S64
completed_study,BabysNewWords_S65
completed_study,BabysNewWords_S66
completed_study,BabysNewWords_S67
completed_excluded,BabysNewWords_S68
completed_study,BabysNewWords_S69
asked_withdraw,BabysNewWords_S70
inactivity_withdraw,BabysNewWords_S71
completed_study,BabysNewWords_S72
completed_study,BabysNewWords_S73
completed_excluded,BabysNewWords_S74
completed_study,BabysNewWords_S75
completed_study,BabysNewWords_S76
inactivity_withdraw,BabysNewWords_S77
completed_study,BabysNewWords_S78
completed_study,BabysNewWords_S79
asked_withdraw,BabysNewWords_S80
completed_study,BabysNewWords_S81
completed_study,BabysNewWords_S82
completed_study,BabysNewWords_S83
inactivity_withdraw,BabysNewWords_S84
inactivity_withdraw,BabysNewWords_S85
completed_study,BabysNewWords_S86
completed_study,BabysNewWords_S87
completed_study,BabysNewWords_S88
inactivity_withdraw,BabysNewWords_S89
asked_withdraw,BabysNewWords_S90
completed_study,BabysNewWords_S91
completed_study,BabysNewWords_S92
inactivity_withdraw,BabysNewWords_S93
completed_study,BabysNewWords_S94
inactivity_withdraw,BabysNewWords_S95
completed_study,BabysNewWords_S96
completed_special_case,BabysNewWords_S97
completed_special_case,BabysNewWords_S98
inactivity_withdraw,BabysNewWords_S99
completed_study,BabysNewWords_S100
completed_special_case,BabysNewWords_S101
completed_study,BabysNewWords_S102
completed_study,BabysNewWords_S103
completed_study,BabysNewWords_S104
inactivity_withdraw,BabysNewWords_S105
completed_study,BabysNewWords_S106
completed_study,BabysNewWords_S107
completed_study,BabysNewWords_S108
inactivity_withdraw,BabysNewWords_S109
asked_withdraw,BabysNewWords_S110
completed_study,BabysNewWords_S111
inactivity_withdraw,BabysNewWords_S112
completed_study,BabysNewWords_S113
asked_withdraw,BabysNewWords_S114
completed_study,BabysNewWords_S115
completed_study,BabysNewWords_S116
completed_study,BabysNewWords_S117
completed_study,BabysNewWords_S118
inactivity_withdraw,BabysNewWords_S119
completed_study,BabysNewWords_S120
completed_study,BabysNewWords_S121
completed_study,BabysNewWords_S122
completed_study,BabysNewWords_S123
inactivity_withdraw,BabysNewWords_S124
completed_study,BabysNewWords_S125
completed_study,BabysNewWords_S126
completed_special_case,BabysNewWords_S127
inactivity_withdraw,BabysNewWords_S128
inactivity_withdraw,BabysNewWords_S129
completed_study,BabysNewWords_S130
completed_study,BabysNewWords_S131
completed_special_case,BabysNewWords_S132
completed_study,BabysNewWords_S133
completed_study,BabysNewWords_S134
inactivity_withdraw,BabysNewWords_S135
completed_study,BabysNewWords_S136
inactivity_withdraw,BabysNewWords_S137
inactivity_withdraw,BabysNewWords_S138
