Completed_Notes,Final parental report sent (Yes/No),Enrolled,LangGroup,Contacted on:,Signed up on:,Recruitment through:,Baby/Subject ID (Get this from the lab InfantDatabase),Study ID
completed in Sept2021,Yes,completed_study,Bilingual,2020-07-29,2020-07-28,Facebook,53279,BabysNewWords_S01
completed in Sept2021,Yes,completed_study,Bilingual,2020-08-11,2020-08-11,Database (email),56250,BabysNewWords_S02
completed in Aug2021,Yes,completed_study,Bilingual,2020-08-11,2020-08-11,Database (email),55101,BabysNewWords_S03
completed in Sept2021,Yes,completed_study,Bilingual,2020-08-11,2020-08-11,Database (email),55731,BabysNewWords_S04
completed in Sept2021,Yes,completed_study,Bilingual,2020-08-11,2020-08-12,Database (email),55051,BabysNewWords_S05
completed in Nov2021,Yes,completed_study,Monolingual,2020-09-01,2020-09-01,Database (email),56327,BabysNewWords_S06
completed in Sept2021,Yes,completed_study,Bilingual,2020-09-01,2020-09-01,Database (email),55072,BabysNewWords_S07
completed in Aug2021,Yes,completed_study,Bilingual,2020-09-01,2020-09-01,Database (email),55087,BabysNewWords_S08
completed in Oct2021,Yes,completed_study,Bilingual,2020-09-01,2020-09-01,Database (email),55009,BabysNewWords_S09
completed in Dec2021,Yes,completed_study,Bilingual,2020-09-16,2020-07-28,Facebook,55786,BabysNewWords_S10
,No,inactivity_withdraw,Bilingual,2020-10-06,2020-09-21,Facebook,56350,BabysNewWords_S11
completed in Nov2021,Yes,completed_study,Bilingual,2020-10-13,2020-09-28,Facebook,56352,BabysNewWords_S12
,No,asked_withdraw,Bilingual,2020-10-14,2020-10-14,Facebook,56355,BabysNewWords_S13
,No,inactivity_withdraw,Bilingual,2020-10-14,2020-10-13,Facebook,56343,BabysNewWords_S14
completed in Dec2021,Yes,completed_study,Bilingual,2020-10-14,2020-10-09,Facebook,56356,BabysNewWords_S15
completed in Nov2021,Yes,completed_study,Bilingual,2020-10-15,2020-10-11,Facebook,56357,BabysNewWords_S16
,No,inactivity_withdraw,Bilingual,2020-10-19,2020-10-15,Facebook,56370,BabysNewWords_S17
completed in Sept2021,Yes,completed_study,Bilingual,2020-10-20,2020-10-11,Facebook,56354,BabysNewWords_S18
completed in Dec2021,Yes,completed_study,Bilingual,2020-10-23,10/22/2020,Referred by a friend,56374,BabysNewWords_S19
completed in Oct2021,Yes,completed_study,Bilingual,2020-10-23,2020-10-21,Referred by a past student,56376,BabysNewWords_S20
complted Jan2022,Yes,completed_study,Bilingual,2020-11-23,2020-10-22,Referred by a friend,56385,BabysNewWords_S21
completed in Dec2021; missing last LEQ + last 3 CDIs,Yes,completed_study,Monolingual,2020-11-24,2020-11-24,Database (called),54200,BabysNewWords_S22
completed in Feb2022,Yes,completed_study,Bilingual,2020-11-24,2020-10-18,Facebook,56384,BabysNewWords_S23
completed in Dec2021,Yes,completed_study,Monolingual,2020-11-24,2020-11-24,Database (called),54965,BabysNewWords_S24
completed in Dec2021,Yes,completed_study,Monolingual,2020-11-24,2020-11-24,Database (called),54966,BabysNewWords_S25
completed in Nov2021,Yes,completed_study,Bilingual,2020-11-27,2020-11-27,Database (called),56381,BabysNewWords_S26
parent report still sent due to many months of consistent participation,Yes,asked_withdraw,Bilingual,2020-11-27,2020-11-27,Database (called),56383,BabysNewWords_S27
completed in Dec2021,Yes,completed_study,Bilingual,2020-11-28,2020-11-28,Asked after Bplay,56382,BabysNewWords_S28
completed in Dec2021,Yes,completed_study,Bilingual,2020-11-30,2020-11-30,Facebook (for Bplay),56388,BabysNewWords_S29
,No,inactivity_withdraw,Bilingual,2020-12-18,2020-12-30,Instagram,56391,BabysNewWords_S30
completed in March 2022,Yes,completed_study,Bilingual,2020-12-18,2020-12-18,Facebook,56392,BabysNewWords_S31
completed in May 2022,Yes,completed_study,Bilingual,2021-01-18,2021-01-18,Facebook,56396,BabysNewWords_S32
completed April 2022,Yes,completed_study,Bilingual,2021-01-18,2021-01-18,Database (called),55013,BabysNewWords_S33
,No,inactivity_withdraw,Bilingual,2021-01-18,2021-01-18,Database (called),55787,BabysNewWords_S34
,No,asked_withdraw,Bilingual,2021-01-18,2020-01-18,Instagram,56397,BabysNewWords_S35
completed in March2022; missing final LEQ,Yes,completed_study,Bilingual,2021-01-21,2021-01-21,Facebook,56398,BabysNewWords_S36
completed Jan2022,Yes,completed_study,Bilingual,2021-01-26,2021-01-26,Facebook,56401,BabysNewWords_S37
completed in Feb2022,Yes,completed_study,Bilingual,2021-01-28,2021-01-28,Facebook,56408,BabysNewWords_S38
completed in May2022; missing final LEQ,Yes,completed_study,Bilingual,2020-11-24,2020-11-23,Referred by a friend,56387,BabysNewWords_S39
completed in April 2022,Yes,inactivity_withdraw,Bilingual,2021-02-25,2021-02-25,Facebook,56399,BabysNewWords_S40
Completed in March 2022,Yes,completed_study,Bilingual,2/25/2021,2/25/2021,Facebook,56402,BabysNewWords_S41
,No,inactivity_withdraw,Bilingual,2/25/2021,2/25/2021,Facebook,56757,BabysNewWords_S42
completed in Jan 2022,Yes,completed_special_case,Bilingual,2/25/2021,2/25/2021,Facebook,56759,BabysNewWords_S43
,No,inactivity_withdraw,Monolingual,2/25/2021,2/25/2021,Facebook,56763,BabysNewWords_S44
completed in Jan2022,Yes,completed_study,Bilingual,2021-02-25,2021-03-01,Mom group,56406,BabysNewWords_S45
completed in April 2022,Yes,completed_study,Bilingual,2021-02-25,2021-03-01,Facebook,56758,BabysNewWords_S46
completed in April 2022,Yes,completed_study,Bilingual,2021-02-25,2021-03-01,Facebook,56407,BabysNewWords_S47
completed in June 2022,Yes,completed_special_case,Bilingual,2021-03-25,2021-03-25,Facebook,56772,BabysNewWords_S48
Started when baby was too old,No,inactivity_withdraw,Bilingual,2021-03-25,2021-03-25,Facebook,56776,BabysNewWords_S49
