study_id,study_name,variable,first_entry,second_entry,discrepancy,response_id_first_entry,recorded_date_first_entry,response_id_second_entry,recorded_date_second_entry,info_to_keep,comment
S012,BNW,participation_date,10/15/2023,10/15/2021,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,10/15/2021,
S012,BNW,cgvr1_fre_var,Canadian,Canadian French,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,Canadian,
S012,BNW,cgvr1_l4_variety,Spanish,Second Level Spanish,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,Second language,
S012,BNW,other_cgvrs_1,Grandma,grandmother,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,grandmother,
S012,BNW,other_cgvrs_2,Nanny,nanny,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,nanny,
S012,BNW,sit1,At home with primary caregiver 1 & 2,At home with grandparents,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,At home with grandparents,
S012,BNW,sit1_hrs_l1_mon,1.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_hrs_l1_tue,1.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_hrs_l1_wed,1.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_hrs_l1_thu,1.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_hrs_l1_fri,1.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_hrs_l2_mon,7.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_hrs_l2_tue,7.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_hrs_l2_wed,7.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_hrs_l2_thu,7.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_hrs_l2_fri,7.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit1_end,12,8,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,8,
S012,BNW,sit1_length,12,8,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,8,
S012,BNW,sit2,At daycare part time,Childcare provider in the home,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,Childcare provider in the home,
S012,BNW,sit2_hrs_l1_fri,1.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit2_hrs_l2_fri,7.5,4.5,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,4.5,
S012,BNW,sit2_hrs_l3_mon,NA,0,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,0,
S012,BNW,sit2_hrs_l3_tue,NA,0,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,0,
S012,BNW,sit2_hrs_l3_wed,NA,0,CHECK,R_vDmc47AYKV47xaF,2023-03-20T13:26:09Z,R_Q06p5hWOj4o1u5r,2023-03-30T12:13:28Z,0,
