en_item_num,fr_item_num,one_to_many,te_id,word_en,word_fr
1,2,NA,1,en_baa_baa,fr_bee_bee
2,10,NA,2,en_choo_choo,fr_tchou_tchou
3,3,NA,3,en_cockadoodledoo,fr_cocorico
4,5,NA,4,en_grr,fr_grr
5,7,NA,5,en_meow,fr_miaou
6,8,NA,6,en_moo,fr_meuh
7,1,NA,7,en_ouch,fr_aie
8,4,NA,8,en_quack_quack,fr_coin_coin
9,9,NA,9,en_uh_oh,fr_oh_oh
10,11,NA,10,en_vroom,fr_vroum
11,12,NA,11,en_woof_woof,fr_wouf_wouf
12,6,NA,12,en_yum_yum,fr_miam_miam
13,15,NA,13,en_alligator,fr_alligator_crocodile
14,17,NA,14,en_animal,fr_animal
15,29,NA,15,en_ant,fr_fourmi
16,40,NA,16,en_bear,fr_ours
17,13,NA,17,en_bee,fr_abeille
18,38,NA,18,en_bird,fr_oiseau
19,18,NA,19,en_bug,fr_bibitte
20,33,NA,20,en_bunny,fr_lapin
21,43,NA,21,en_butterfly,fr_papillon
22,20,NA,22,en_cat,fr_chat
23,47,NA,23,en_chicken_animal,fr_poulet_animal
24,52,NA,24,en_cow,fr_vache
25,22,NA,25,en_deer,fr_chevreuil
26,23,NA,26,en_dog,fr_chien
27,16,NA,27,en_donkey,fr_ane
28,19,NA,28,en_duck,fr_canard
29,28,NA,29,en_elephant,fr_elephant
30,45,NA,30,en_fish_animal,fr_poisson_animal
31,31,NA,31,en_frog,fr_grenouille
32,30,NA,32,en_giraffe,fr_girafe
33,37,NA,33,en_goose,fr_oie
34,46,NA,34,en_hen,fr_poule
35,21,NA,35,en_horse,fr_cheval
37,14,NA,36,en_lamb,fr_agneau
38,34,NA,37,en_lion,fr_lion
39,48,NA,38,en_monkey,fr_singe
40,39,NA,39,en_moose,fr_orignal
41,49,NA,40,en_mouse,fr_souris
42,32,NA,41,en_owl,fr_hibou
43,44,NA,42,en_penguin,fr_pingouin
44,24,NA,43,en_pig,fr_cochon
47,25,NA,44,en_rooster,fr_coq
48,36,NA,45,en_sheep,fr_mouton
49,27,NA,46,en_squirrel,fr_ecureuil
50,41,NA,47,en_teddy_bear,fr_ourson_nounours
51,50,NA,48,en_tiger,fr_tigre
52,26,NA,49,en_turkey,fr_dinde
53,51,NA,50,en_turtle,fr_tortue
54,35,NA,51,en_wolf,fr_loup
55,53,NA,52,en_zebra,fr_zebre
56,56,NA,53,en_airplane,fr_avion
57,58,NA,54,en_bicycle,fr_bicyclette
58,57,NA,55,en_boat,fr_bateau
59,55,NA,56,en_bus,fr_autobus
60,54,NA,57,en_car,fr_auto
61,60,NA,58,en_firetruck,fr_camion_de_pompier
62,61,NA,59,en_helicopter,fr_helicoptere
63,62,NA,60,en_motorcycle,fr_moto
64,66,NA,61,en_sled,fr_traineau
65,63,NA,62,en_stroller,fr_poussette
66,64,NA,63,en_tractor,fr_tracteur
67,65,NA,64,en_train,fr_train
68,67,NA,65,en_tricycle,fr_tricycle
69,59,NA,66,en_truck,fr_camion
70,68,NA,67,en_ball,fr_balle
71,69,NA,68,en_balloon,fr_ballon
72,70,NA,69,en_bat,fr_baton_jouet
73,71,NA,70,en_block,fr_bloc
74,83,NA,71,en_book,fr_livre
75,72,NA,72,en_bubbles,fr_bulles
76,76,NA,73,en_chalk,fr_craie
77,78,NA,74,en_crayon,fr_crayon_de_couleur
78,85,NA,75,en_doll,fr_poupee
79,80,NA,76,en_game,fr_jeu
80,75,NA,77,en_glue,fr_colle
81,86,NA,78,en_pen,fr_stylo
82,77,NA,79,en_pencil,fr_crayon
83,84,NA,80,en_play_dough,fr_pate_a_modeler
84,73,NA,81,en_present,fr_cadeau
85,74,NA,82,en_puzzle,fr_casse_tete
86,79,NA,83,en_story,fr_histoire
87,81,NA,84,en_toy,fr_jouet
88,133,NA,85,en_apple,fr_pomme
89,104,NA,86,en_applesauce,fr_compote_aux_pommes
90,88,NA,87,en_banana,fr_banane
91,116,NA,88,en_beans,fr_haricot
92,127,NA,89,en_bread,fr_pain
93,90,NA,90,en_butter,fr_beurre
94,112,NA,91,en_cake,fr_gateau
95,95,NA,92,en_candy,fr_bonbon
96,97,NA,93,en_carrots,fr_carotte
97,98,NA,94,en_cereal,fr_cereales
98,99,NA,95,en_cheerios,fr_cheerios
99,111,NA,96,en_cheese,fr_fromage
100,137,NA,97,en_chicken_food,fr_poulet_nourriture
101,101,NA,98,en_chocolate,fr_chocolat
102,96,NA,99,en_coffee,fr_cafe
103,103,NA,100,en_coke,fr_coke
104,92,NA,101,en_cookie,fr_biscuit
105,94,NA,102,en_corn,fr_ble_dinde
106,93,NA,103,en_cracker,fr_biscuit_soda
107,89,NA,104,en_donut,fr_beigne
109,125,NA,105,en_egg,fr_oeuf
110,132,NA,106,en_fish_food,fr_poisson_nourriture
111,124,NA,107,en_food,fr_nourriture
112,129,NA,108,en_french_fries,fr_patates_frites
113,138,NA,109,en_grapes,fr_raisin
115,114,NA,110,en_gum,fr_gomme
116,115,NA,111,en_hamburger,fr_hamburger
117,113,NA,112,en_ice,fr_glace
118,107,NA,113,en_ice_cream,fr_creme_glacee
